species,clade,superorder,order,family,status,tip_age,age_max,age_min,Mass,Activity,Diet,Sociality,Locomotion,specimen_ID,source,reference
Blarinella_quadraticauda,Placentalia,Laurasiatheria,Eulipotyphla,Soricidae,extant,0,0,0,12.5,NA,NA,NA,NA,AMNH:Mammals:M-114755,https://n2t.net/ark:/87602/m4/692646,"56, 101"
Borhyaena_tuberata,Metatheria,Sparassodonta,Sparassodonta,Borhyaenidae,extinct,16.9,17.5,16.3,23000,NA,Carnivore,NA,Terrestrial,YPM:PU:15120,"Weisbecker et al., 2021","30, 69"
Bradypus_tridactylus,Placentalia,Xenarthra,Pilosa,Bradypodidae,extant,0,0,0,4375.8,Mixed,Herbivore,Solitary,Arboreal,NHMUK 1867.4.12.579,Phenome10K,"56, 101"
Caenolestes_fuliginosus,Metatheria,Marsupialia,Paucituberculata,Caenolestidae,extant,0,0,0,28.64,Mixed,Omnivore,Solitary,Arboreal,KU:KUM:124015,https://n2t.net/ark:/87602/m4/M116130,"56, 101"
Caenomeryx_filholi,Placentalia,Laurasiatheria,Artiodactyla,Cainotheriidae,extinct,30.6,33.9,27.3,3960,NA,Herbivore,NA,Terrestrial,UM:PDS:2570,https://doi.org/10.18563/m3.sf.1069,"81, 112"
Callosciurus_notatus,Placentalia,Euarchontoglires,Rodentia,Sciuridae,extant,0,0,0,209.49,Diurnal,Omnivore,NA,Arboreal,NHMUK:ZOO:1975.1337,https://n2t.net/ark:/87602/m4/M157332,"56, 101"
Calomys_laucha,Placentalia,Euarchontoglires,Rodentia,Cricetidae,extant,0,0,0,14,NA,Omnivore,NA,NA,UMMZ:mammals:134402,https://n2t.net/ark:/87602/m4/M68595,"56, 101"
Calomyscus_bailwardi,Placentalia,Euarchontoglires,Rodentia,Calomyscidae,extant,0,0,0,21.38,NA,NA,NA,NA,UMMZ:mammals:167649,https://n2t.net/ark:/87602/m4/M64407,"56, 101"
Caluromys_philander,Metatheria,Marsupialia,Didelphimorphia,Didelphidae,extant,0,0,0,246.47,Nocturnal,Omnivore,Solitary,Arboreal,AMNH:95526,"Weisbecker et al., 2021","56, 101"
Caperea_marginata,Placentalia,Laurasiatheria,Artiodactyla,Cetotheriidae,extant,0,0,0,3200000,NA,Carnivore,NA,Aquatic,nmv:mammalogy:38157,https://n2t.net/ark:/87602/m4/347435,"56, 101"
Capreolus_capreolus,Placentalia,Laurasiatheria,Artiodactyla,Cervidae,extant,0,0,0,22502.01,Mixed,Herbivore,Social,Terrestrial,ummz:mammals:125684,https://n2t.net/ark:/87602/m4/673236,"56, 101"
Capromys_pilorides,Placentalia,Euarchontoglires,Rodentia,Capromyidae,extant,0,0,0,5200,NA,Omnivore,Social,NA,ummz:mammals:77811,https://n2t.net/ark:/87602/m4/675391 ,"56, 101"
Carpocyon_webbi,Placentalia,Laurasiatheria,Carnivora,Canidae,extinct,10.5,16.3,4.7,32000,NA,Omnivore,NA,Terrestrial,amnh:fm:61328,https://n2t.net/ark:/87602/m4/395522,"76, 122"
Castor_canadensis,Placentalia,Euarchontoglires,Rodentia,Castoridae,extant,0,0,0,18124.41,Mixed,Herbivore,Social,Aquatic,AMNH:Mammals:M-150136,https://n2t.net/ark:/87602/m4/598434,"56, 101"
Catonyx_tarijensis,Placentalia,Xenarthra,Pilosa,Scelidotheriidae,extinct,2.67,5.333,0.0117,1159700,NA,Herbivore,NA,Terrestrial,MNHN:Bol:13364,Alberto Boscaini,"85, 109"
Cavia_porcellus,Placentalia,Euarchontoglires,Rodentia,Caviidae,extant,0,0,0,727.99,NA,Herbivore,Social,Terrestrial,hacb:CP3,https://n2t.net/ark:/87602/m4/M47035,"56, 101"
Cebochoerus_lacustris,Placentalia,Laurasiatheria,Artiodactyla,Cebochoeridae,extinct,35.805,37.71,33.9,8000,NA,Herbivore,NA,Terrestrial,fmnh:pm:59051,https://n2t.net/ark:/87602/m4/399515,"76, 123"
Cedromus_wilsoni,Placentalia,Euarchontoglires,Rodentia,Sciuridae,extinct,31.7,33.9,29.5,393.49,NA,NA,NA,NA,USNM:PAL:256584,https://n2t.net/ark:/87602/m4/M12079,"9, 42, 52, 84, 124"
Cephalophus_leucogaster,Placentalia,Laurasiatheria,Artiodactyla,Bovidae,extant,0,0,0,13208.69,Diurnal,Herbivore,NA,Terrestrial,AMNH:M:52802,https://doi.org/10.6084/m9.figshare.26861932,"56, 101"
Ceratotherium_simum,Placentalia,Laurasiatheria,Perissodactyla,Rhinocerotidae,extant,0,0,0,2285939.43,Mixed,Herbivore,Social,Terrestrial,zmh-s:2552,https://n2t.net/ark:/87602/m4/M72022,"56, 101"
